Time Frequency Delay Bandwidth Retrans Pings SelfSNR SelfNoise SelfTXpower OtherSNR OtherNoise OtherTXpower MemFree Cached Active SUnreclaim
1330445864 5.2 0 3.8077 68 5 1960 -9500 16 1860 -9600 16 107124 7176 6236 4160
1330445991 5.26 61 3.8216 64 5 2440 -9600 16 1760 -9600 16 107092 7176 6236 4188
1330446124 5.3 67 3.8189 64 5 1740 -9600 16 1520 -9600 16 107112 7176 6236 4172
1330446252 5.5 62 3.8243 65 5 1960 -9200 16 1700 -9200 16 107104 7176 6236 4180
1330446379 5.6 60 3.7437 69 5 1140 -9100 16 1140 -9200 16 107052 7176 6236 4232
1330446521 5.7 60 1.6026 157 4 850 -8800 16 550 -8900 16 107124 7176 6236 4156
1330446587 5.745 0 3.4270 65 5 640 -8800 16 520 -8900 16 107092 7176 6236 4184
1330446667 5.785 0 3.3483 56 5 1160 -8800 16 1320 -9000 16 107028 7176 6236 4240
1330446733 5.825 0 3.8123 69 5 1560 -8800 16 1720 -8900 16 106968 7176 6240 4308
1330446804 5.2 0 3.7777 80 5 2260 -9600 16 2160 -9600 16 106992 7176 6236 4288
1330446930 5.26 60 3.8352 54 5 1900 -9400 16 1680 -9300 16 107036 7176 6236 4248
1330447056 5.3 61 3.7957 62 5 1720 -9400 16 1500 -9300 16 107008 7176 6236 4268
1330447183 5.5 60 3.8288 64 5 1900 -9000 16 1700 -8900 16 107124 7176 6236 4152
1330447316 5.6 66 3.7260 54 5 1160 -8900 16 1220 -8900 16 107024 7176 6236 4256
1330447442 5.7 60 2.9783 45 5 700 -8600 16 600 -8600 16 107124 7176 6236 4152
1330447510 5.745 0 2.3887 193 5 880 -8600 16 660 -8600 16 107140 7176 6236 4144
1330447578 5.785 0 3.5494 95 5 860 -8600 16 980 -8700 16 106980 7176 6236 4300
1330447644 5.825 0 3.7457 69 5 1460 -8600 16 1520 -8600 16 106948 7176 6236 4328
1330447710 5.2 0 3.8321 60 5 2160 -9600 16 1980 -9600 16 106988 7176 6236 4292
1330447843 5.26 60 3.4689 50 5 1940 -9400 16 1640 -9300 16 107064 7176 6236 4216
1330447971 5.3 61 3.8279 54 5 1680 -9400 16 1560 -9300 16 107016 7176 6236 4268
1330448098 5.5 61 3.8202 62 5 2000 -9000 16 1880 -8900 16 107032 7176 6236 4244
1330448226 5.6 62 3.7416 62 5 1340 -8900 16 1360 -8900 16 107080 7176 6236 4204
1330448352 5.7 61 3.2360 34 5 800 -8600 16 620 -8600 16 107132 7176 6236 4140
1330448425 5.745 0 2.9075 79 5 860 -8600 16 700 -8600 16 107120 7176 6236 4160
1330448498 5.785 0 3.5763 57 5 800 -8700 16 760 -8600 16 107108 7176 6236 4164
1330448565 5.825 0 3.7483 66 5 1360 -8600 16 1480 -8600 16 107036 7176 6236 4232
1330448631 5.2 0 3.8208 63 5 1960 -9600 16 1840 -9600 16 107020 7176 6240 4252
1330448759 5.26 60 3.8159 58 5 1880 -9400 16 1560 -9300 16 107084 7176 6236 4192
1330448886 5.3 61 3.8041 69 5 1580 -9400 16 1380 -9300 16 107024 7176 6236 4252
1330449020 5.5 61 3.4934 60 5 2040 -9000 16 1940 -8900 16 107140 7176 6236 4140
1330449146 5.6 60 3.8205 66 5 1480 -8900 16 1460 -8900 16 107124 7176 6236 4160
1330449273 5.7 60 3.7657 54 5 820 -8600 16 720 -8600 16 107060 7176 6236 4216
1330449349 5.745 0 2.8174 129 4 450 -8500 16 425 -8600 16 106860 7176 6360 4196
1330449429 5.785 11 2.7601 177 5 680 -8700 16 780 -8700 16 107084 7176 6236 4196
1330449496 5.825 0 3.7395 48 5 1280 -8700 16 1280 -8600 16 107064 7176 6236 4220
1330449567 5.2 0 3.8023 72 5 2040 -9600 16 1840 -9600 16 107064 7176 6236 4216
1330449700 5.26 66 3.8441 60 5 1760 -9300 16 1460 -9300 16 107104 7176 6236 4180
1330449826 5.3 60 3.7956 56 5 1620 -9300 16 1440 -9300 16 107156 7176 6236 4124
1330449955 5.5 60 3.8580 60 5 2060 -8900 16 2020 -8900 16 106880 7176 6320 4180
1330450084 5.6 62 3.8088 65 5 1640 -8900 16 1560 -8900 16 107080 7176 6236 4196
1330450219 5.7 63 3.4661 53 5 1080 -8500 16 1000 -8600 16 107124 7176 6236 4152
1330450285 5.745 0 3.6355 55 5 1260 -8500 16 1100 -8600 16 107076 7176 6236 4196
1330450352 5.785 0 3.4238 63 5 820 -8500 16 940 -8700 16 107052 7176 6236 4232
1330450418 5.825 0 3.3150 111 5 960 -8500 16 900 -8600 16 107004 7176 6236 4272
1330450484 5.2 0 3.7938 60 5 1580 -9600 16 1440 -9600 16 107064 7176 6236 4216
1330450612 5.26 61 3.7678 65 5 1640 -9400 16 1360 -9300 16 107060 7176 6236 4212
