Time Frequency Delay XBandwidth Retrans Pings XSelfSNR XSelfNoise SelfTXpower OtherSNR OtherNoise OtherTXpower MemFree Cached Active SUnreclaim
1330014051 5.2 0 3.4793 63 5 1760 -9500 16 1980 -9600 16 107088 7064 6324 4092
1330014179 5.26 61 3.7559 67 5 1640 -9600 16 1420 -9400 16 107276 7064 6240 4128
1330014306 5.3 61 3.7692 54 5 1240 -9600 16 980 -9300 16 107404 7064 6240 3992
1330014433 5.5 60 3.7487 52 5 1100 -9200 16 820 -8900 16 107252 7064 6240 4144
1330014560 5.6 62 3.7577 50 5 1420 -9200 16 1320 -8900 16 107392 7064 6240 4012
1330014693 5.7 66 3.7731 48 5 1460 -8800 16 1300 -8600 16 107408 7064 6240 3996
1330014760 5.745 0 3.7208 52 5 1880 -8840 16 1720 -8600 16 107408 7064 6240 3992
1330014826 5.785 0 3.7852 70 5 1900 -8900 16 1920 -8700 16 107296 7064 6240 4104
1330014892 5.825 0 3.8203 75 5 2100 -8900 16 2120 -8600 16 107344 7064 6240 4056
1330014960 5.2 0 3.8388 54 5 1840 -9500 16 2040 -9600 16 107360 7064 6240 4040
1330015086 5.26 60 3.8085 60 5 1660 -9600 16 1340 -9300 16 107380 7064 6240 4012
1330015219 5.3 60 3.3823 52 5 1480 -9500 16 1340 -9300 16 107408 7064 6240 3984
1330015345 5.5 60 3.7477 54 5 760 -9200 16 640 -8900 16 107392 7064 6240 4004
1330015472 5.6 60 3.7609 65 5 1300 -9200 16 1240 -8900 16 107308 7064 6240 4092
1330015601 5.7 62 3.7353 44 5 1520 -8900 16 1220 -8600 16 107400 7064 6240 4028
1330015667 5.745 0 3.6137 55 5 1780 -8800 16 1580 -8600 16 107376 7064 6240 4024
1330015734 5.785 0 3.7803 68 5 1920 -8900 16 1920 -8700 16 107284 7064 6240 4096
1330015812 5.825 0 3.7673 69 5 1960 -8900 16 1880 -8600 16 107292 7064 6240 4104
1330015879 5.2 0 3.8189 62 5 1960 -9500 16 2260 -9600 16 107308 7064 6240 4092
1330016008 5.26 62 3.8210 69 5 1920 -9600 16 1640 -9400 16 107336 7064 6240 4056
1330016134 5.3 60 3.7624 50 5 1640 -9600 16 1420 -9300 16 107364 7064 6240 4032
1330016261 5.5 60 3.4903 121 5 1040 -9200 16 840 -8900 16 107416 7064 6240 3984
1330016387 5.6 60 3.7636 54 5 1180 -9200 16 1100 -8900 16 107400 7064 6240 3996
1330016520 5.7 67 3.7621 54 5 1360 -8900 16 1120 -8600 16 107356 7064 6240 4036
1330016586 5.745 0 2.3934 138 5 1620 -8900 16 1480 -8600 16 107372 7064 6240 4016
1330016652 5.785 0 3.7653 69 5 1920 -8900 16 2000 -8700 16 107268 7064 6240 4132
1330016719 5.825 0 3.7863 74 5 1940 -8900 16 1920 -8600 16 107236 7064 6240 4160
1330016786 5.2 0 3.8305 52 5 2320 -9600 16 2240 -9600 16 107292 7064 6240 4104
1330016914 5.26 62 3.8319 60 5 2080 -9300 16 1800 -9400 16 107332 7064 6240 4072
1330017048 5.3 62 3.4411 60 5 1620 -9300 16 1420 -9300 16 107380 7064 6240 4024
1330017176 5.5 61 3.8099 65 5 1260 -8900 16 1040 -8900 16 107320 7064 6240 4076
1330017303 5.6 61 3.5872 70 5 1060 -8800 16 1040 -8900 16 107380 7064 6240 4020
1330017429 5.7 60 3.7889 52 5 1000 -8500 16 900 -8600 16 107256 7064 6240 4148
1330017496 5.745 0 3.4878 45 5 1380 -8400 16 1420 -8600 16 107276 7064 6240 4120
1330017562 5.785 0 3.6721 37 5 1460 -8500 16 1520 -8700 16 107248 7064 6240 4148
1330017635 5.825 0 3.3745 71 5 1800 -8500 16 1800 -8600 16 107124 7064 6240 4276
1330017702 5.2 0 3.8335 58 5 2320 -9600 16 2380 -9600 16 107204 7064 6240 4196
1330017828 5.26 60 3.8091 80 5 1900 -9400 16 1760 -9400 16 107248 7064 6240 4156
1330017957 5.3 60 3.8076 60 5 1840 -9400 16 1560 -9300 16 107120 7064 6356 4100
1330018085 5.5 61 3.7325 50 5 1600 -9000 16 1340 -8900 16 107344 7064 6240 4060
1330018218 5.6 61 3.2778 74 5 580 -8900 16 640 -8900 16 107392 7064 6240 4008
1330018344 5.7 60 3.5092 42 5 900 -8600 16 720 -8600 16 107376 7064 6240 4028
1330018410 5.745 0 3.6909 50 5 1020 -8600 16 940 -8600 16 107344 7064 6240 4052
1330018480 5.785 0 3.7308 72 5 1660 -8700 16 1640 -8700 16 107328 7064 6240 4076
1330018552 5.825 0 3.8028 70 5 1620 -8600 16 1600 -8600 16 107052 7064 6360 4140
1330018620 5.2 0 3.8093 76 5 2360 -9600 16 2260 -9600 16 107260 7064 6240 4136
1330018748 5.26 61 3.8385 61 5 2000 -9400 16 1660 -9300 16 107352 7064 6240 4044
1330018882 5.3 67 3.8098 62 5 1800 -9400 16 1620 -9300 16 107396 7064 6240 3996
1330019008 5.5 60 3.8064 51 5 1740 -9000 16 1640 -8900 16 107376 7064 6240 4020
1330019134 5.6 60 3.7926 71 5 1180 -8900 16 1160 -8900 16 107408 7064 6240 3984
1330019261 5.7 60 3.3007 64 5 800 -8600 16 640 -8600 16 107376 7068 6240 4012
1330019327 5.745 0 3.1120 80 5 1060 -8600 16 940 -8600 16 107344 7068 6240 4044
1330019393 5.785 0 3.6012 97 5 1160 -8700 16 1080 -8700 16 107388 7068 6240 4008
