Time Frequency Delay Bandwidth Retrans Pings SelfSNR SelfNoise SelfTXpower OtherSNR OtherNoise OtherTXpower MemFree Cached Active SUnreclaim
1332344158 5.2 0 3.9930 78 5 3900 -9600 16 3520 -9500 16 109952 5988 6100 2908
1332344285 5.26 60 3.9863 60 5 4240 -9300 16 3340 -9600 16 110036 5988 6108 2824
1332344418 5.3 60 3.4245 60 5 4220 -9300 16 3240 -9600 16 109972 5988 6128 2884
1332344545 5.5 61 3.9524 60 5 3480 -8900 16 3520 -9200 16 109912 5988 6128 2944
1332344673 5.6 62 3.9679 66 5 2160 -9000 16 2020 -9200 16 109964 5988 6128 2896
1332344799 5.68 60 4.0179 56 5 3140 -8700 16 3340 -9000 16 109988 5988 6128 2868
1332344866 5.745 0 3.9695 64 5 3440 -8600 16 4760 -8900 16 110008 5988 6128 2856
1332344932 5.785 0 3.9642 58 5 3320 -8600 16 4580 -8900 16 110004 5988 6128 2860
1332344999 5.825 0 3.8806 56 5 3020 -8600 16 4360 -8800 16 110020 5988 6128 2844
1332345073 5.2 0 4.0257 55 5 3560 -9600 16 4640 -9600 16 109780 5988 6212 2868
1332345200 5.26 60 3.9749 56 5 3260 -9300 16 3280 -9400 16 109964 5988 6132 2884
1332345327 5.3 60 3.9827 75 5 3380 -9300 16 3460 -9400 16 110148 5988 6132 2700
1332345454 5.5 60 3.9813 60 5 3540 -9000 16 3560 -9000 16 110028 5988 6132 2812
1332345580 5.6 60 3.9855 56 5 2560 -9000 16 2720 -9000 16 109944 5988 6132 2904
1332345895 5.745 0 3.8880 73 5 3540 -8600 16 4880 -8600 16 110040 5988 6132 2808
1332345963 5.785 0 3.8824 56 5 3580 -8600 16 5020 -8700 16 109960 5988 6132 2892
1332346032 5.825 0 3.5439 108 5 3240 -8600 16 4880 -8700 16 110100 5988 6132 2740
1332346099 5.2 0 4.0044 54 5 3140 -9600 16 4780 -9500 16 110092 5988 6132 2760
1332346232 5.26 60 3.3147 62 5 3140 -9300 16 3200 -9400 16 110124 5988 6132 2724
1332346359 5.3 60 3.9817 60 5 3400 -9300 16 1080 -9400 16 109936 5988 6132 2912
